0.1	1.34259	0.0420938	0.938212	0.0312125	1.17322	0.0372673	1.07843	0.03469
0.2	1.21898	0.0387993	0.985991	0.0324984	1.13641	0.0362909	1.10403	0.0353699
0.3	1.21459	0.0386822	0.953611	0.0316273	1.09921	0.0353031	1.0889	0.0349682
0.4	1.23732	0.0392888	1.00494	0.0330078	1.10156	0.0353655	1.13621	0.0362242
0.5	1.29314	0.0407771	1.00968	0.0331351	1.07806	0.034741	1.21028	0.038187
0.6	1.35176	0.0423379	1.01245	0.0332093	1.06788	0.0344702	1.251	0.0392645
0.7	1.35136	0.0423273	0.983622	0.0324347	1.09921	0.0353031	1.29172	0.0403409
0.8	1.36811	0.0427729	0.94216	0.0313189	1.00601	0.0328226	1.3018	0.0406073
0.9	1.36213	0.0426138	0.959929	0.0317974	1.02833	0.0334175	1.28861	0.0402589
1	1.32026	0.0414994	0.929129	0.0309678	1.00131	0.0326973	1.23161	0.0387516
1.1	1.28357	0.0405221	0.905042	0.0303181	0.948445	0.031286	1.2479	0.0391824
1.2	1.2118	0.0386077	0.871478	0.0294115	0.922208	0.0305843	1.21416	0.0382897
1.3	1.21738	0.0387567	0.808694	0.0277109	0.876783	0.0293672	1.20098	0.0379406
1.4	1.11211	0.0359428	0.763679	0.0264872	0.865035	0.0290519	1.0986	0.0352257
1.5	1.07064	0.0348318	0.68431	0.0243188	0.756172	0.0261191	1.06525	0.0343395
1.6	0.951814	0.0316388	0.567428	0.0210927	0.608148	0.022088	0.970242	0.0318087
1.7	0.797099	0.0274536	0.407901	0.0165888	0.488712	0.018779	0.817066	0.0277049
1.8	0.523557	0.01992	0.170979	0.00935765	0.245139	0.0116864	0.584394	0.021382
